fold,train_start,train_end,test_start,test_end,optuna_score,train_return,train_sharpe,train_drawdown,train_calmar,train_trades,train_winrate,train_profit_factor,test_return,test_sharpe,test_drawdown,test_calmar,test_trades,test_winrate,test_profit_factor,param_ema_span,param_swing_caution,param_swing_stop,param_atr_caution,param_atr_stop,param_atr_size,param_caution_threshold,param_adx_override,param_stop_atr_scale,param_risk_per_trade,param_max_leverage,param_stop_mult_pos_both,param_stop_mult_pos_caution,param_stop_mult_pos_short,param_stop_mult_pos_normal,param_stop_mult_ent_both,param_stop_mult_ent_caution,param_stop_mult_ent_short,param_stop_mult_ent_normal
1,2019-03-29,2021-03-27,2021-03-28,2022-03-27,-999.0,10.871009615551944,1.9887812772960882,-0.6530910998455561,16.645471999423567,0,0.0,0.0,-0.025212244707684794,0.03311804260749001,-0.21516914384228283,-0.11717407179054055,0,0.0,0.0,18,14,8,22,13,4,0.8987421406859392,75,1.4016725176148133,0.03686326600082205,1.041168988591605,2.4398197043239884,0.7659541126403374,0.3972747549495866,1.0181899606485207,0.8668090197068676,0.3433937943676302,0.834659004285133,0.9319450186421158
2,2020-03-28,2022-03-27,2022-03-28,2023-03-27,0.8689925123093707,10.903581286225654,2.5635842064555585,-0.20897694898130428,52.175999981706696,46,0.5869565217391305,3.7228439650709357,-0.30551014742319216,-0.3216007345330076,-0.610519406868966,-0.5004102146236327,0,0.0,0.0,29,14,3,29,11,3,2.123716515441338,70,1.3445371134996007,0.04579674644572064,2.576266423201014,2.201609245287791,0.6892961490945857,0.8364065357817274,1.7859224808388898,2.0439124184212147,0.8904551299655128,1.4398934984001452,1.0944078703765996
3,2021-03-28,2023-03-27,2023-03-28,2024-03-26,-999.0,-0.5346937724465397,-0.22629217462327605,-0.7639664867860818,-0.6998916597715356,0,0.0,0.0,1.3947048517339824,2.229983791538411,-0.19379241032827965,7.196901309867534,0,0.0,0.0,35,4,8,17,17,10,1.4694252368500273,56,1.2648536143844096,0.03695665969971831,2.9210524504113344,1.4132422178778745,0.4421212168492872,0.25884918156795855,1.061478643215829,2.4149441381358345,0.8546805763235161,1.3345539936190967,1.1464105624033936
4,2022-03-28,2024-03-26,2024-03-27,2025-03-26,-999.0,0.64388361034177,0.7241909955568864,-0.6712526174658391,0.9592269640193068,0,0.0,0.0,0.32112005090935214,0.7548811962027207,-0.3486119301780142,0.9211390176617775,0,0.0,0.0,40,9,5,11,19,8,0.8824874015409581,46,0.6739260672469167,0.033232625721699174,2.712364097191249,1.8002048421751051,0.8925773478062401,0.7584910477652995,1.5419533802808298,1.0653344130623348,0.8808026526540333,1.0422951987843454,0.9405308887745445
5,2023-03-28,2025-03-26,2025-03-27,2026-03-26,-999.0,1.4350230314323325,1.4347897356331536,-0.1977013862128473,7.258538035172764,0,0.0,0.0,0.00709516506176322,0.12421708833712287,-0.18614920668230522,0.038115473002645166,13,0.46153846153846156,1.1532476670185003,33,10,4,25,16,14,0.8728712621988487,58,1.8690834349027965,0.02547517635170505,2.015868681407583,0.6698159095894003,0.4410798328524302,1.1440037435714208,1.8404976747329482,1.1473316538013412,0.18325951785063063,1.2229512655948258,0.8948319491801178
