t,open,high,low,close
2026-05-14 16:55:00+00:00,350.0,385.0,350.0,385.0
2026-05-14 17:00:00+00:00,385.0,385.0,385.0,385.0
2026-05-14 17:05:00+00:00,370.0,379.80999755859375,325.0,369.989990234375
2026-05-14 17:10:00+00:00,370.0,374.0,350.0,364.5299987792969
2026-05-14 17:15:00+00:00,363.2799987792969,365.260009765625,335.989990234375,343.19000244140625
2026-05-14 17:20:00+00:00,343.4399108886719,344.5400085449219,325.9800109863281,326.82501220703125
2026-05-14 17:25:00+00:00,326.1199951171875,335.0,321.0,327.18499755859375
2026-05-14 17:30:00+00:00,326.94000244140625,337.5,324.0,330.7699890136719
2026-05-14 17:35:00+00:00,330.1300048828125,343.0,330.1300048828125,335.0
2026-05-14 17:40:00+00:00,335.0,336.58648681640625,326.5,329.3800048828125
2026-05-14 17:45:00+00:00,328.7300109863281,331.0,322.16009521484375,325.80999755859375
2026-05-14 17:50:00+00:00,325.81500244140625,328.0,307.0292053222656,307.0299987792969
2026-05-14 17:55:00+00:00,307.010009765625,312.0,302.3565979003906,303.2900085449219
2026-05-14 18:00:00+00:00,303.2749938964844,306.69000244140625,300.0,301.17999267578125
2026-05-14 18:05:00+00:00,300.4800109863281,309.45001220703125,300.0,309.44000244140625
2026-05-14 18:10:00+00:00,309.0,316.6400146484375,306.0,308.3599853515625
2026-05-14 18:15:00+00:00,308.1199951171875,311.8900146484375,304.0,311.0
2026-05-14 18:20:00+00:00,311.989990234375,318.8500061035156,309.6099853515625,317.5
2026-05-14 18:25:00+00:00,317.5,319.5,311.0,313.0899963378906
2026-05-14 18:30:00+00:00,313.2850036621094,322.0,311.25,321.1650085449219
2026-05-14 18:35:00+00:00,321.7622985839844,324.0,317.2099914550781,322.1499938964844
2026-05-14 18:40:00+00:00,322.0199890136719,325.0,318.75,324.8450012207031
2026-05-14 18:45:00+00:00,325.0,327.7648010253906,322.0199890136719,323.4800109863281
2026-05-14 18:50:00+00:00,323.6099853515625,325.0,320.30999755859375,322.44000244140625
2026-05-14 18:55:00+00:00,322.6025085449219,326.9798889160156,317.0299987792969,318.4949951171875
2026-05-14 19:00:00+00:00,317.6300048828125,325.0,315.3009948730469,324.5
2026-05-14 19:05:00+00:00,324.7349853515625,328.8999938964844,320.3999938964844,328.45001220703125
2026-05-14 19:10:00+00:00,328.1600036621094,330.0,326.6000061035156,327.6600036621094
2026-05-14 19:15:00+00:00,327.6600036621094,329.989990234375,325.0,329.7799987792969
2026-05-14 19:20:00+00:00,329.30999755859375,329.9200134277344,324.5,325.55499267578125
2026-05-14 19:25:00+00:00,325.55499267578125,326.4999084472656,320.0,320.3999938964844
2026-05-14 19:30:00+00:00,320.0299987792969,321.2799987792969,312.32000732421875,318.7349853515625
2026-05-14 19:35:00+00:00,318.9800109863281,322.0,316.510009765625,319.7300109863281
2026-05-14 19:40:00+00:00,319.54998779296875,321.7300109863281,315.5199890136719,316.25
2026-05-14 19:45:00+00:00,316.260009765625,319.25,311.0,311.0
2026-05-14 19:50:00+00:00,311.0,317.9800109863281,305.1600036621094,317.5
2026-05-14 19:55:00+00:00,317.25,317.5,309.1000061035156,310.29998779296875
