asset,path_sharpe_mean,selected_sharpe,sharpe_ci_lo,sharpe_ci_hi,n_eff,sr_star,deflated_sharpe,dsr_prob,pbo,p_oos_loss,rc_p
ADA,1.377,1.287,0.448,1.995,21.3,0.266,1.02,0.997,0.7728,0.0108,0.009
AVAX,1.413,1.403,0.419,2.21,11.6,0.126,1.278,0.9998,0.8176,0.0004,0.0085
BTC,1.404,1.431,0.465,2.321,13.7,0.185,1.246,0.9993,0.8494,0.0014,0.003
ETH,1.245,1.244,0.401,1.995,12.2,0.142,1.102,0.9977,0.92,0.0003,0.0005
SOL,1.716,1.71,0.801,2.595,9.1,0.12,1.59,1.0,0.9002,0.0005,0.002
XRP,1.303,1.305,0.526,1.994,21.6,0.241,1.064,0.999,0.5699,0.0004,0.0135
